gameKey,seasonName,date,winner,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_TOM,H_EJ,H_NR,H_TS%,H_eFG%,H_EFF,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_TOM,A_EJ,A_NR,A_TS%,A_eFG%,A_EFF,A_TEAM
S39G01N18,2021-2022,20211016,away,18,4,19,12,31,1,47,29,18,5,1,1,8,5,4,0,66,35,18,37,28,80,74,2,1,16,2400,0,0,2,0,-23.498049533070045,51.67322834645669,59.375,85,서울 삼성,26,2,14,15,29,7,50,28,19,7,2,1,20,16,7,2,71,36,17,35,26,95,91,10,0,7,2400,0,0,21,0,23.498049533070045,44.19191919191919,52.77777777777778,123,수원 KT
S39G01N19,2021-2022,20211017,away,18,5,29,13,42,3,33,18,34,9,2,1,20,16,3,2,69,28,19,41,25,81,89,5,0,13,2400,0,0,12,0,-0.37210862427247093,53.68098159509203,65.625,96,원주 DB,21,1,28,12,40,3,46,18,24,8,5,5,17,12,2,0,75,31,19,41,22,82,92,6,0,8,2400,0,0,13,0,0.37210862427247093,33.78378378378378,40.0,96,대구 한국가스공사
S39G01N20,2021-2022,20211017,home,24,2,23,13,36,4,57,30,18,6,0,0,18,11,5,5,75,36,19,39,36,89,93,9,0,8,2400,0,0,19,0,8.750962525667347,63.333333333333336,63.333333333333336,110,서울 SK,20,7,25,11,36,3,39,21,26,8,1,1,20,13,4,2,66,30,16,35,24,81,86,5,0,13,2400,0,0,8,0,-8.750962525667347,37.346221441124776,38.23529411764706,96,울산 현대모비스
S39G01N21,2021-2022,20211017,away,9,2,20,14,34,1,40,18,26,7,0,0,8,6,3,2,66,25,17,34,18,63,74,8,1,9,2400,2,0,12,0,-12.399256044637298,47.53914988814318,53.333333333333336,64,창원 LG,17,3,23,6,29,5,35,19,20,8,2,2,8,5,3,2,57,29,13,27,14,71,65,6,0,10,2400,0,0,2,0,12.399256044637298,57.142857142857146,57.142857142857146,90,전주 KCC
S39G01N22,2021-2022,20211018,home,15,4,33,11,44,4,33,15,35,11,1,1,12,7,5,3,69,27,13,26,23,72,81,4,2,12,2400,1,0,8,0,11.813836240860866,47.66949152542373,50.0,82,수원 KT,17,3,29,8,37,3,42,15,22,7,3,3,9,5,5,4,67,25,18,36,26,62,76,7,1,11,2400,0,0,11,0,-11.813836240860866,28.90173410404624,30.0,71,고양 오리온
S39G01N23,2021-2022,20211019,away,12,4,19,7,26,4,44,19,19,9,0,0,17,11,3,4,63,28,17,37,20,76,80,3,1,10,2400,0,0,13,0,-8.696741220066684,43.90018484288355,57.69230769230769,73,울산 현대모비스,20,2,27,15,42,3,51,26,14,2,3,3,21,17,1,0,68,31,20,41,31,81,89,5,3,10,2400,0,0,15,0,8.696741220066684,58.333333333333336,58.333333333333336,99,서울 삼성
S39G01N24,2021-2022,20211020,away,15,1,21,12,33,3,32,17,30,8,1,1,19,13,4,5,63,26,19,42,22,73,82,3,0,14,2400,0,0,4,0,-23.68301773499317,44.19191919191919,50.0,71,대구 한국가스공사,18,2,26,17,43,4,40,21,30,10,2,2,22,16,5,6,72,33,19,44,22,92,94,11,1,10,2400,0,0,17,0,23.68301773499317,40.95163806552262,50.0,114,창원 LG
S39G01N25,2021-2022,20211021,home,25,2,22,9,31,4,41,28,28,10,4,3,19,12,11,8,73,41,20,46,26,104,92,9,1,14,2400,0,1,10,0,3.349491227893367,26.993355481727576,35.714285714285715,121,안양 KGC,17,1,22,15,37,2,59,27,18,9,0,0,24,18,8,6,77,36,19,38,29,99,101,10,0,12,2400,0,0,8,0,-3.349491227893367,52.3168908819133,59.523809523809526,107,서울 SK
S39G01N26,2021-2022,20211022,home,21,5,33,12,45,2,44,17,21,6,1,1,25,21,4,4,66,24,17,37,27,75,91,4,0,10,2400,0,0,6,0,14.90458999484271,29.069767441860463,33.333333333333336,96,원주 DB,12,3,29,14,43,5,46,11,24,7,2,2,24,19,2,2,72,20,17,39,28,66,96,6,1,9,2400,0,0,2,0,-14.90458999484271,24.232633279483036,23.68421052631579,68,서울 삼성
S39G01N27,2021-2022,20211022,away,13,1,28,8,36,6,44,18,22,7,2,2,13,6,3,4,68,27,18,41,26,67,81,3,0,11,2400,0,0,9,0,-7.694601058140606,36.1271676300578,46.666666666666664,67,대구 한국가스공사,17,2,30,12,42,1,33,15,30,6,1,1,24,18,5,2,64,22,16,36,26,68,88,5,1,9,2400,0,0,6,0,7.694601058140606,23.907103825136613,16.666666666666668,77,전주 KCC
S39G01N28,2021-2022,20211023,away,18,2,24,17,41,6,46,25,27,7,0,0,17,10,4,0,73,32,20,44,24,81,90,5,2,10,2400,0,0,6,0,-8.092835193174963,30.82191780821918,38.63636363636363,93,창원 LG,15,3,22,9,31,4,39,21,24,8,1,1,22,18,4,6,64,30,19,42,28,86,86,7,2,8,2400,0,0,10,0,8.092835193174963,37.553648068669524,46.666666666666664,98,안양 KGC
S39G01N29,2021-2022,20211023,away,19,2,23,20,43,3,43,18,31,11,0,0,13,7,4,2,74,29,17,37,24,76,87,7,0,13,2400,0,0,15,0,-7.429847462358168,45.0,45.0,86,수원 KT,15,3,26,12,38,3,49,23,16,7,1,1,19,12,10,8,66,31,16,34,19,81,85,6,0,10,2400,0,0,12,0,7.429847462358168,48.34254143646409,62.5,94,서울 SK
S39G01N30,2021-2022,20211023,away,16,2,19,17,36,3,49,22,26,5,1,1,10,6,4,2,76,28,14,28,22,67,86,10,0,16,2400,0,1,7,0,-32.32474517109277,40.0,40.0,66,울산 현대모비스,25,0,27,7,34,6,55,33,15,6,1,1,10,9,7,8,71,40,11,22,29,95,81,8,0,13,2400,0,0,20,0,32.32474517109277,65.78947368421052,65.78947368421052,123,고양 오리온
S39G01N31,2021-2022,20211024,home,17,3,27,15,42,1,39,22,25,7,3,3,27,24,3,2,67,32,18,37,27,95,94,4,0,10,2400,0,0,6,0,17.762155403859126,50.872093023255815,62.5,114,대구 한국가스공사,19,5,18,15,33,6,52,21,22,10,2,2,15,10,2,0,76,33,20,46,27,86,91,5,1,10,2400,0,0,4,0,-17.762155403859126,37.92667509481669,43.47826086956522,95,서울 삼성
S39G01N32,2021-2022,20211024,home,18,3,31,8,39,2,41,29,27,8,1,1,16,11,9,4,69,38,13,26,21,95,85,7,0,8,2400,0,0,17,0,35.554644713530024,36.63793103448276,43.75,120,서울 SK,20,1,21,10,31,4,41,21,28,6,2,2,7,4,3,2,71,29,17,35,20,68,78,4,0,12,2400,0,0,2,0,-35.554644713530024,36.692759295499016,39.473684210526315,71,원주 DB
S39G01N33,2021-2022,20211024,home,18,3,21,13,34,5,51,35,38,9,0,0,15,12,5,6,89,44,18,40,35,109,104,8,0,13,2700,0,0,21,0,-0.4385412583517905,39.682539682539684,47.22222222222222,116,전주 KCC,24,5,24,16,40,6,59,31,24,10,0,0,19,16,4,2,83,41,19,44,31,108,102,9,0,19,2700,0,0,16,0,0.4385412583517905,43.658088235294116,50.0,128,울산 현대모비스
S39G01N34,2021-2022,20211025,home,15,4,27,12,39,2,46,23,13,4,1,1,18,13,3,2,60,28,16,33,16,73,78,6,1,13,2400,0,0,10,0,10.378505864826195,40.24144869215292,41.1764705882353,88,창원 LG,18,2,20,10,30,1,51,24,15,4,1,1,7,4,6,2,67,29,14,31,26,66,74,7,0,9,2400,0,0,11,0,-10.378505864826195,47.97441364605543,65.38461538461539,74,고양 오리온
S39G01N35,2021-2022,20211026,home,15,2,30,9,39,6,39,20,24,10,1,1,7,6,0,0,64,31,16,33,29,78,71,2,0,14,2400,0,0,11,0,14.059077447517865,58.8235294117647,58.8235294117647,94,서울 삼성,15,3,22,5,27,1,35,19,26,7,1,0,14,8,2,0,62,26,15,30,24,67,76,9,0,8,2400,0,0,6,0,-14.059077447517865,29.87132352941176,31.25,72,안양 KGC
S39G01N36,2021-2022,20211027,away,17,2,25,4,29,2,30,16,27,10,2,2,23,16,2,2,59,28,17,34,22,82,82,4,0,8,2400,0,0,4,0,-13.343588792300721,53.5264483627204,61.53846153846154,90,전주 KCC,20,0,24,16,40,3,48,22,28,12,0,0,13,10,6,3,76,34,20,41,27,90,89,6,1,6,2400,0,0,12,0,13.343588792300721,59.86590038314176,63.888888888888886,107,원주 DB
S39G01N37,2021-2022,20211028,away,21,3,19,17,36,8,56,30,20,5,4,4,25,15,3,0,80,39,18,40,30,98,105,12,0,14,2400,0,0,12,0,-11.705861705861722,45.45454545454545,60.869565217391305,113,수원 KT,26,5,20,10,30,4,45,23,18,10,2,2,27,22,5,2,65,35,17,39,14,102,92,8,2,16,2400,0,0,7,0,11.705861705861722,44.08418657565416,63.333333333333336,122,울산 현대모비스
S39G01N38,2021-2022,20211029,home,23,4,30,8,38,0,42,25,25,12,0,0,10,8,7,2,67,37,15,30,28,94,77,3,0,11,2400,0,0,6,0,13.136538851694041,47.78672032193159,50.0,119,서울 SK,21,0,22,11,33,2,45,24,32,11,0,0,5,3,1,0,77,35,15,30,22,84,82,8,0,6,2400,0,1,4,0,-13.136538851694041,40.625,40.625,98,대구 한국가스공사
S39G01N39,2021-2022,20211029,away,14,2,24,7,31,4,32,15,28,7,1,1,11,9,2,2,61,23,16,34,28,62,72,4,2,11,2400,0,0,2,0,-14.977790541460152,41.73989455184534,47.05882352941177,64,원주 DB,17,0,31,6,37,2,37,16,19,7,2,2,19,16,3,2,58,25,13,27,12,73,77,6,1,10,2400,0,0,12,0,14.977790541460152,50.0,50.0,88,안양 KGC
S39G01N40,2021-2022,20211030,home,20,2,30,8,38,2,35,21,17,7,2,2,18,13,4,0,54,30,17,34,20,80,72,0,3,15,2400,0,0,2,0,16.93867952848879,49.83388704318937,67.85714285714286,95,울산 현대모비스,12,3,16,15,31,3,48,23,25,4,1,1,15,9,3,0,74,28,17,36,18,69,89,7,2,4,2400,0,0,19,0,-16.93867952848879,28.979907264296756,30.434782608695652,67,창원 LG
S39G01N41,2021-2022,20211030,away,15,3,23,15,38,5,45,19,23,8,1,1,15,12,4,2,69,28,18,36,26,76,84,4,0,13,2400,0,0,8,0,-12.32132221560451,38.793103448275865,43.75,84,서울 삼성,21,3,21,9,30,5,51,29,18,6,1,0,7,5,8,0,70,35,17,35,24,81,77,10,1,6,2400,0,1,10,0,12.32132221560451,52.55941499085923,57.89473684210526,106,고양 오리온
S39G01N42,2021-2022,20211030,home,22,2,29,15,44,4,46,24,29,13,0,0,10,9,4,2,75,37,18,39,19,96,85,6,0,10,2400,0,0,13,0,28.597947532485733,47.39336492890995,50.0,125,수원 KT,20,1,19,7,26,4,35,14,25,11,0,0,22,13,4,2,60,25,15,31,19,74,82,5,0,11,2400,0,0,2,0,-28.597947532485733,31.83646112600536,42.857142857142854,75,전주 KCC
S39G01N43,2021-2022,20211031,away,20,3,24,11,35,4,40,20,34,11,1,1,14,10,1,2,75,32,19,44,15,85,89,4,1,10,2700,0,1,5,0,-2.9269099245787658,45.54655870445344,50.0,93,창원 LG,15,4,32,14,46,5,55,26,16,4,2,2,29,20,6,4,73,32,17,38,31,88,102,5,0,9,2700,0,2,8,0,2.9269099245787658,34.01360544217687,44.44444444444444,104,서울 SK
S39G01N44,2021-2022,20211031,away,15,3,36,8,44,1,45,20,21,4,2,2,21,12,3,2,68,26,16,35,20,68,89,5,0,7,2400,0,0,7,0,-0.8980649064594388,36.692759295499016,36.8421052631579,78,원주 DB,12,2,36,6,42,3,48,23,19,4,1,1,18,12,3,2,68,28,14,31,21,72,86,6,1,10,2400,1,0,4,0,0.8980649064594388,43.41864716636198,47.36842105263158,80,고양 오리온
S39G01N45,2021-2022,20211031,home,25,2,36,14,50,3,40,23,27,8,4,4,13,8,4,0,71,35,17,36,25,86,84,7,0,13,2400,0,0,15,0,31.072405103083042,42.562724014336915,50.0,119,수원 KT,17,3,21,17,38,2,47,16,29,7,0,0,19,10,4,2,76,23,15,30,19,63,95,9,0,9,2400,0,0,0,0,-31.072405103083042,24.01129943502825,26.19047619047619,61,안양 KGC
S39G01N46,2021-2022,20211101,away,13,1,24,7,31,3,40,24,20,3,2,2,14,9,0,0,62,29,15,30,21,70,76,2,0,9,2400,1,0,3,0,-11.746966037779572,33.057851239669425,35.294117647058826,73,대구 한국가스공사,17,0,23,10,33,5,37,17,29,11,1,1,11,10,2,4,67,29,16,36,15,79,78,6,2,9,2400,0,0,13,0,11.746966037779572,40.32258064516129,41.666666666666664,90,울산 현대모비스
S39G01N47,2021-2022,20211102,home,17,2,22,2,24,2,34,23,24,10,0,0,13,10,1,2,58,33,15,31,12,86,71,5,0,6,2400,0,0,8,0,1.1048770655864786,67.11409395973155,73.33333333333333,102,전주 KCC,18,2,24,7,31,1,28,14,33,17,0,0,8,6,4,4,61,31,18,37,18,85,69,6,2,10,2400,0,0,4,0,-1.1048770655864786,66.12090680100755,73.07692307692308,99,창원 LG
S39G01N48,2021-2022,20211103,home,22,3,28,8,36,1,43,27,17,8,4,4,14,10,5,4,64,39,17,35,25,96,78,9,2,17,2400,0,0,18,0,22.154427657807872,46.80187207488299,58.8235294117647,119,수원 KT,22,1,19,11,30,0,52,25,19,7,1,1,13,8,2,2,72,33,14,28,24,81,85,7,2,15,2400,0,0,18,0,-22.154427657807872,52.50403877221324,63.1578947368421,80,고양 오리온
S39G01N49,2021-2022,20211104,home,22,1,32,16,48,5,41,24,30,9,2,2,13,7,6,2,73,35,19,39,20,86,86,8,1,15,2400,0,0,9,0,35.141222800182774,45.309168443496795,57.69230769230769,110,대구 한국가스공사,17,3,22,5,27,1,32,13,27,7,1,1,14,7,8,0,60,21,18,37,25,56,74,8,1,13,2400,0,0,9,0,-35.141222800182774,43.658088235294116,53.125,52,서울 삼성
S39G01N50,2021-2022,20211105,home,15,4,29,11,40,4,47,25,21,9,0,0,17,14,1,2,68,34,17,34,26,91,85,6,1,6,2400,0,0,10,0,42.77032789277955,54.844606946983546,60.526315789473685,116,서울 SK,9,1,23,17,40,4,50,23,26,4,2,1,12,5,1,0,78,28,14,30,16,65,90,3,1,9,2400,0,0,4,0,-42.77032789277955,43.17434210526316,50.0,55,수원 KT
S39G01N51,2021-2022,20211106,home,13,3,24,14,38,4,44,20,23,6,1,1,25,19,3,4,68,27,16,32,15,79,93,8,1,7,2400,0,0,6,0,1.6530579570925568,41.78779069767442,50.0,90,안양 KGC,15,1,28,14,42,1,36,16,31,12,1,1,10,5,2,2,68,29,19,43,26,75,78,6,1,11,2400,0,0,2,0,-1.6530579570925568,37.878787878787875,47.22222222222222,84,서울 삼성
S39G01N52,2021-2022,20211106,away,15,5,26,10,36,3,45,23,22,5,2,2,13,10,5,2,69,30,14,28,20,75,82,6,1,8,2400,0,0,16,0,-0.6432921099454347,32.31017770597738,34.21052631578947,89,울산 현대모비스,18,5,27,12,39,3,48,26,21,6,0,0,14,8,4,2,69,32,16,33,18,78,83,5,1,12,2400,0,0,4,0,0.6432921099454347,41.32231404958678,50.0,92,전주 KCC
S39G01N53,2021-2022,20211106,home,21,1,22,4,26,3,42,27,14,7,0,0,19,17,6,2,56,34,18,37,17,92,75,11,0,17,2400,0,0,17,0,11.056488485503863,67.00554528650646,96.15384615384616,113,고양 오리온,20,1,17,8,25,3,42,22,20,7,2,2,20,16,3,0,64,31,18,39,17,85,84,15,0,14,2400,0,1,10,0,-11.056488485503863,55.78512396694215,70.58823529411765,98,창원 LG
S39G01N54,2021-2022,20211106,away,21,5,22,11,33,5,37,22,36,8,1,1,16,10,7,4,74,31,18,43,29,80,90,8,0,7,2400,1,0,9,0,-3.684721803503834,50.317796610169495,56.25,96,원주 DB,23,0,32,6,38,6,33,18,29,10,0,0,23,18,0,0,62,28,18,39,26,84,85,4,1,12,2400,0,0,2,0,3.684721803503834,61.51142355008787,70.58823529411765,103,대구 한국가스공사
S39G01N55,2021-2022,20211107,home,16,2,22,11,33,3,39,20,24,9,2,2,15,9,2,0,65,31,16,32,15,80,80,7,0,10,2400,0,0,10,0,-1.2447171411106694,44.81132075471698,57.142857142857146,91,수원 KT,18,1,21,10,31,2,41,21,24,10,0,0,9,7,2,0,65,31,17,35,12,79,74,4,2,10,2400,0,0,10,0,1.2447171411106694,38.16793893129771,39.473684210526315,87,전주 KCC
S39G01N56,2021-2022,20211107,away,14,0,24,11,35,2,41,19,20,5,4,4,22,16,6,8,65,28,17,36,26,77,87,9,1,11,2400,0,0,14,0,-3.305049821768293,33.89154704944179,43.333333333333336,82,서울 SK,13,3,25,11,36,1,35,17,27,11,0,0,21,12,4,4,62,28,17,37,17,79,83,8,2,14,2400,0,0,12,0,3.305049821768293,36.496350364963504,50.0,81,안양 KGC
S39G01N57,2021-2022,20211107,home,29,3,27,4,31,2,39,18,24,14,0,0,19,15,9,2,63,32,16,32,22,93,82,9,1,10,2400,1,0,6,0,17.460880227387747,72.70693512304251,80.0,121,고양 오리온,21,3,29,8,37,0,47,24,21,8,4,2,13,9,2,2,72,34,14,30,25,85,85,4,1,13,2400,0,0,7,0,-17.460880227387747,63.55932203389831,71.875,94,원주 DB
S39G01N58,2021-2022,20211107,home,27,6,30,8,38,3,45,27,16,3,1,1,20,13,7,2,62,31,17,35,18,78,82,9,1,10,2400,0,0,10,0,20.44513457556937,45.309168443496795,53.84615384615385,112,울산 현대모비스,13,2,25,10,35,6,41,22,27,4,2,2,12,7,6,2,70,28,20,42,25,67,82,4,1,12,2400,0,0,13,0,-20.44513457556937,34.37047756874095,42.10526315789474,67,서울 삼성
S39G01N59,2021-2022,20211108,home,15,3,26,18,44,2,40,18,25,10,3,3,17,9,2,2,68,31,17,35,33,81,85,5,0,10,2400,0,0,7,0,25.37119432085187,48.4006734006734,58.333333333333336,95,창원 LG,17,1,18,9,27,4,33,14,28,7,3,3,13,11,1,2,64,24,20,41,26,66,77,6,1,9,2400,0,0,7,0,-25.37119432085187,41.15226337448559,41.666666666666664,69,대구 한국가스공사
S39G01N60,2021-2022,20211109,away,18,2,15,10,25,2,41,25,18,2,2,2,26,20,7,4,61,29,16,32,28,80,87,7,0,10,2400,1,0,12,0,-18.043434306409665,55.74614065180103,60.526315789473685,86,울산 현대모비스,24,1,22,16,38,3,44,27,28,9,1,1,13,13,3,4,73,37,17,41,21,96,86,5,0,12,2400,0,1,13,0,18.043434306409665,59.628975265017665,75.0,119,안양 KGC
S39G01N61,2021-2022,20211110,home,14,10,30,7,37,4,46,22,13,4,1,1,14,9,7,6,60,27,16,33,24,67,74,7,0,17,2400,0,0,10,0,17.26831340860784,53.763440860215056,61.111111111111114,84,원주 DB,14,2,24,21,45,7,39,13,38,7,0,0,9,6,1,0,77,20,17,34,27,53,86,10,0,15,2400,0,0,7,0,-17.26831340860784,44.031311154598825,44.73684210526316,56,수원 KT
S39G01N62,2021-2022,20211111,home,19,0,26,5,31,3,38,20,26,9,1,0,10,8,4,0,65,29,19,46,25,75,75,6,0,11,2400,0,0,2,0,-2.6840103288626835,36.5990990990991,37.5,85,서울 삼성,9,3,28,18,46,4,52,24,18,3,0,0,26,17,0,0,70,27,17,35,30,74,96,5,0,9,2400,0,0,5,0,2.6840103288626835,29.542097488921716,35.294117647058826,80,서울 SK
