gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S45G01N26,2024-2025,20241101,away,창원 LG,16,3,25,7,32,4,39,21,18,3,1,1,17,13,4,4,58,25,15,15,27,66,75,5,0,14,40.0,40.0,2400,0,1,6,0,75,서울 SK,19,2,24,10,34,5,44,24,24,5,2,2,9,5,7,10,70,31,18,18,18,72,79,8,1,10,40.0,40.0,2400,0,0,12,0,86
S45G01N27,2024-2025,20241102,home,수원 KT,15,2,23,18,41,3,53,22,25,6,1,1,24,16,7,9,79,29,16,16,17,80,103,8,0,6,40.0,40.0,2400,0,0,10,0,85,원주 DB,19,7,26,9,35,9,42,20,20,7,2,2,16,13,7,7,64,29,19,25,23,78,80,3,1,14,40.0,40.0,2400,0,1,8,0,98
S45G01N28,2024-2025,20241102,away,울산 현대모비스,20,2,30,13,43,2,48,22,16,4,1,1,20,13,7,2,65,27,15,16,20,71,85,6,1,14,40.0,40.0,2400,0,0,0,0,84,안양 정관장,19,5,25,4,29,5,41,19,25,9,1,1,9,5,4,2,67,29,18,19,18,72,76,6,1,9,40.0,40.0,2400,0,1,15,0,84
S45G01N29,2024-2025,20241102,home,서울 삼성,18,2,25,12,37,1,36,23,26,7,1,1,13,9,4,2,63,31,18,22,18,78,76,6,0,12,40.0,40.0,2400,0,0,7,0,94,고양 소노,18,0,16,7,23,5,30,14,29,11,0,0,16,15,5,5,59,25,14,16,14,76,75,10,1,9,40.0,40.0,2400,0,0,9,0,87
S45G01N30,2024-2025,20241103,away,창원 LG,18,1,15,7,22,4,51,25,22,7,0,0,3,2,3,2,73,32,19,20,22,73,76,11,0,8,40.0,40.0,2400,0,0,18,0,79,울산 현대모비스,18,1,26,14,40,4,49,28,10,3,1,1,16,11,5,4,60,32,15,15,17,78,76,2,1,19,40.0,40.0,2400,0,0,12,0,90
S45G01N31,2024-2025,20241103,home,대구 한국가스공사,24,3,20,12,32,3,31,15,35,16,0,0,13,13,3,2,66,31,17,17,20,91,79,11,0,15,40.0,40.0,2400,0,0,12,0,114,서울 SK,16,0,19,15,34,4,45,22,22,6,3,3,12,8,8,6,70,31,14,13,21,76,82,9,0,15,40.0,40.0,2400,1,0,14,0,81
S45G01N32,2024-2025,20241103,home,부산 KCC,25,5,24,9,33,2,35,22,27,14,2,2,15,12,5,5,64,38,13,13,18,102,79,6,1,7,40.0,40.0,2400,0,0,9,0,136,안양 정관장,18,1,17,9,26,4,47,26,22,5,1,1,2,2,8,4,70,32,17,20,22,71,72,6,2,9,40.0,40.0,2400,0,0,6,0,77
S45G01N33,2024-2025,20241104,away,원주 DB,19,2,26,10,36,3,36,19,25,6,0,0,11,8,3,1,61,25,18,20,18,64,72,7,0,21,40.0,40.0,2400,0,0,5,0,71,고양 소노,19,1,23,22,45,3,46,25,32,5,0,0,17,14,7,4,78,30,19,20,19,79,95,14,1,13,40.0,40.0,2400,0,0,10,0,96
S45G01N34,2024-2025,20241105,home,대구 한국가스공사,20,2,19,7,26,2,37,15,28,14,2,2,8,6,1,0,67,31,20,21,18,82,75,7,0,11,40.0,40.0,2400,0,1,19,0,90,수원 KT,15,3,24,15,39,7,39,23,27,6,0,0,13,10,5,2,66,29,18,18,14,74,79,5,2,16,40.0,40.0,2400,0,0,4,0,85
S45G01N35,2024-2025,20241106,away,울산 현대모비스,19,4,21,14,35,2,52,22,20,7,2,2,8,7,3,0,74,31,16,17,21,76,82,6,0,13,40.0,40.0,2400,0,1,8,0,85,서울 SK,23,5,26,13,39,5,46,29,22,4,4,4,21,17,11,6,72,37,14,15,25,95,93,7,0,11,40.0,40.0,2400,0,0,10,0,124
S45G01N36,2024-2025,20241107,home,서울 삼성,24,3,23,12,35,8,38,19,24,8,2,2,24,14,2,2,64,29,20,23,27,80,88,4,0,11,40.0,40.0,2400,0,1,7,0,98,창원 LG,16,4,20,7,27,3,34,16,25,10,0,0,22,17,2,5,59,26,19,23,32,79,81,3,0,7,40.0,40.0,2400,0,0,13,0,87
S45G01N37,2024-2025,20241107,home,안양 정관장,18,5,24,14,38,1,41,23,28,7,0,0,11,7,5,2,69,30,16,15,18,74,80,8,0,7,40.0,40.0,2400,0,1,9,0,94,수원 KT,18,3,27,18,45,3,41,21,34,9,0,0,9,4,7,2,75,30,17,17,22,73,84,5,0,10,40.0,40.0,2400,0,0,2,0,87
