시즌,경기ID,팀명,구분,선수명,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,자밀 워니,26,13,18,72.2,0,2,0.0,13,20,65.0,0,0,0.0,5,9,14,3,0,0,0,1,1,0
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,오재현,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,이현민,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,4
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,함지훈,14,3,7,42.9,2,2,100.0,5,9,55.6,2,2,100.0,1,1,2,2,1,0,0,0,1,1
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,최진수,0,0,4,0.0,0,2,0.0,0,6,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,장재석,16,6,10,60.0,0,0,0.0,6,10,60.0,4,7,57.1,4,5,9,1,0,1,0,0,1,4
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,정성호,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,김영현,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,4
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,김수찬,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,서명진,21,4,5,80.0,4,6,66.7,8,11,72.7,1,1,100.0,1,1,2,8,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,얼 클락,10,4,9,44.4,0,3,0.0,4,12,33.3,2,2,100.0,0,8,8,4,0,5,0,1,3,1
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,이우석,13,5,8,62.5,1,4,25.0,6,12,50.0,0,2,0.0,0,4,4,2,0,0,0,0,4,3
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,신민석,9,3,3,100.0,1,4,25.0,4,7,57.1,0,0,0.0,1,2,3,0,1,1,0,0,0,1
../kbl_data/2021-2022,S39G01N3,울산 현대모비스,Home,김동준,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,정영삼,4,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0.0,0,1,1,1,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,민성주,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,차바위,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,2,2,3,3,0,0,0,1,2
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,조상열,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,이대헌,19,9,14,64.3,0,1,0.0,9,15,60.0,1,2,50.0,1,2,3,2,1,2,0,1,0,4
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,두경민,8,1,4,25.0,1,6,16.7,2,10,20.0,3,3,100.0,0,3,3,1,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,임준수,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,김낙현,21,3,6,50.0,4,8,50.0,7,14,50.0,3,5,60.0,0,2,2,5,0,1,0,0,0,2
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,전현우,5,1,1,100.0,0,1,0.0,1,2,50.0,3,3,100.0,1,3,4,1,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,클리프 알렉산더,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,2,2,1,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,앤드류 니콜슨,32,11,17,64.7,2,3,66.7,13,20,65.0,4,4,100.0,2,4,6,3,2,0,0,1,2,3
../kbl_data/2021-2022,S39G01N3,대구 한국가스공사,Away,신승민,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,1,5
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,김동욱,9,0,5,0.0,2,3,66.7,2,8,25.0,3,3,100.0,0,2,2,2,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,김영환,2,1,1,100.0,0,4,0.0,1,5,20.0,0,1,0.0,0,1,1,1,2,0,0,0,1,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,김현민,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,김윤태,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,최창진,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,정성우,17,5,9,55.6,2,5,40.0,7,14,50.0,1,2,50.0,0,1,1,4,0,0,1,0,1,1
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,양홍석,11,1,3,33.3,2,7,28.6,3,10,30.0,3,5,60.0,1,6,7,3,3,0,0,0,3,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,박준영,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,캐디 라렌,6,2,8,25.0,0,1,0.0,2,9,22.2,2,2,100.0,2,4,6,0,0,1,0,0,1,3
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,박지원,5,0,6,0.0,1,4,25.0,1,10,10.0,2,2,100.0,0,3,3,1,3,0,0,0,1,0
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,마이크 마이어스,9,4,8,50.0,0,0,0.0,4,8,50.0,1,2,50.0,4,7,11,2,0,1,0,1,0,3
../kbl_data/2021-2022,S39G01N4,수원 KT,Home,하윤기,8,2,6,33.3,0,0,0.0,2,6,33.3,4,6,66.7,2,1,3,0,1,2,0,0,3,2
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,윤호영,3,1,2,50.0,0,0,0.0,1,2,50.0,1,2,50.0,1,1,2,1,0,1,0,0,1,3
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,박찬희,4,2,2,100.0,0,3,0.0,2,5,40.0,0,2,0.0,1,5,6,8,1,0,0,0,2,0
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,김종규,15,6,11,54.5,1,3,33.3,7,14,50.0,0,0,0.0,1,5,6,0,1,4,1,1,4,2
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,허웅,26,4,6,66.7,6,8,75.0,10,14,71.4,0,0,0.0,1,4,5,6,0,1,1,0,3,0
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,김영훈,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,김철욱,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,박상권,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,김훈,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,1,1,0,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,나카무라 타이치,2,1,3,33.3,0,2,0.0,1,5,20.0,0,0,0.0,1,2,3,1,1,0,0,0,1,2
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,얀테 메이튼,4,1,6,16.7,0,1,0.0,1,7,14.3,2,2,100.0,2,0,2,1,1,1,0,0,1,4
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,레나드 프리먼,7,3,9,33.3,0,1,0.0,3,10,30.0,1,1,100.0,3,13,16,2,1,3,0,0,0,1
../kbl_data/2021-2022,S39G01N4,원주 DB,Away,정호영,7,2,3,66.7,1,2,50.0,3,5,60.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,김동량,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,장민국,10,0,0,0.0,3,4,75.0,3,4,75.0,1,2,50.0,0,2,2,0,1,1,0,0,3,3
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,김시래,2,1,5,20.0,0,1,0.0,1,6,16.7,0,1,0.0,0,4,4,8,0,0,0,0,2,2
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,김현수,18,3,5,60.0,3,5,60.0,6,10,60.0,3,3,100.0,0,1,1,1,1,0,1,0,1,3
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,임동섭,7,1,5,20.0,1,3,33.3,2,8,25.0,2,2,100.0,0,2,2,4,0,1,1,0,0,4
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,이동엽,12,2,3,66.7,2,3,66.7,4,6,66.7,2,3,66.7,1,3,4,7,1,0,0,0,3,3
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,아이제아 힉스,22,10,11,90.9,0,2,0.0,10,13,76.9,2,3,66.7,2,4,6,1,1,1,0,1,4,4
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,박민우,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N5,서울 삼성,Home,차민석,5,2,4,50.0,0,1,0.0,2,5,40.0,1,2,50.0,2,1,3,0,0,0,0,0,1,2
