경기ID,쿼터,2PA_Away,2PA_Home,2PM_Away,2PM_Home,3PA_Away,3PA_Home,3PM_Away,3PM_Home,AST_Away,AST_Home,BLK_Away,BLK_Home,DK_Away,DK_Home,DREB_Away,DREB_Home,FGA_Away,FGA_Home,FGM_Away,FGM_Home,FTA_Away,FTA_Home,FTM_Away,FTM_Home,GD_Away,GD_Home,OREB_Away,OREB_Home,PF_Away,PF_Home,PTS_Away,PTS_Home,REB_Away,REB_Home,STL_Away,STL_Home,TO_Away,TO_Home,PTS_diff,2PM_diff,2PA_diff,3PM_diff,3PA_diff,FGM_diff,FGA_diff,FTM_diff,FTA_diff,OREB_diff,DREB_diff,REB_diff,AST_diff,STL_diff,BLK_diff,GD_diff,DK_diff,TO_diff,PF_diff,Home_Win
S39G01N103,2.0,21.0,22.0,14.0,8.0,10.0,11.0,7.0,4.0,7.0,5.0,0.0,2.0,0.0,0.0,16.0,1.0,31.0,33.0,21.0,12.0,6.0,14.0,3.0,9.0,0.0,1.0,9.0,9.0,11.0,8.0,52.0,37.0,25.0,10.0,4.0,4.0,9.0,5.0,-15.0,-6.0,1.0,-3.0,1.0,-9.0,2.0,6.0,8.0,0.0,-15.0,-15.0,-2.0,0.0,2.0,1.0,0.0,-4.0,-3.0,0
S39G01N103,3.0,24.0,33.0,14.0,15.0,19.0,15.0,9.0,5.0,9.0,8.0,1.0,2.0,0.0,1.0,21.0,8.0,43.0,48.0,23.0,20.0,16.0,15.0,12.0,10.0,1.0,1.0,10.0,11.0,15.0,15.0,67.0,55.0,31.0,19.0,7.0,6.0,12.0,9.0,-12.0,1.0,9.0,-4.0,-4.0,-3.0,5.0,-2.0,-1.0,1.0,-13.0,-12.0,-1.0,-1.0,1.0,0.0,1.0,-3.0,0.0,0
S39G01N103,4.0,33.0,48.0,18.0,21.0,24.0,21.0,9.0,7.0,10.0,12.0,2.0,2.0,0.0,2.0,26.0,16.0,57.0,69.0,27.0,28.0,16.0,15.0,12.0,10.0,1.0,1.0,11.0,16.0,17.0,19.0,75.0,73.0,37.0,32.0,8.0,6.0,14.0,10.0,-2.0,3.0,15.0,-2.0,-3.0,1.0,12.0,-2.0,-1.0,5.0,-10.0,-5.0,2.0,-2.0,0.0,0.0,2.0,-4.0,2.0,0
S39G01N104,1.0,10.0,12.0,2.0,5.0,8.0,5.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,2.0,6.0,8.0,18.0,17.0,3.0,8.0,6.0,2.0,6.0,2.0,2.0,0.0,5.0,1.0,4.0,7.0,13.0,21.0,11.0,9.0,2.0,1.0,4.0,4.0,8.0,3.0,2.0,2.0,-3.0,5.0,-1.0,-4.0,-4.0,-4.0,2.0,-2.0,4.0,-1.0,-1.0,-2.0,2.0,0.0,3.0,1
S39G01N104,2.0,23.0,22.0,7.0,13.0,12.0,12.0,3.0,7.0,5.0,9.0,1.0,0.0,0.0,4.0,11.0,15.0,35.0,34.0,10.0,20.0,8.0,6.0,8.0,5.0,2.0,0.0,7.0,1.0,9.0,11.0,31.0,52.0,18.0,16.0,4.0,4.0,9.0,7.0,21.0,6.0,-1.0,4.0,0.0,10.0,-1.0,-3.0,-2.0,-6.0,4.0,-2.0,4.0,0.0,-1.0,-2.0,4.0,-2.0,2.0,1
S39G01N104,3.0,30.0,33.0,10.0,18.0,24.0,19.0,8.0,10.0,13.0,14.0,1.0,0.0,0.0,4.0,20.0,22.0,54.0,52.0,18.0,28.0,13.0,9.0,11.0,6.0,2.0,0.0,9.0,1.0,14.0,16.0,55.0,72.0,29.0,23.0,4.0,5.0,11.0,8.0,17.0,8.0,3.0,2.0,-5.0,10.0,-2.0,-5.0,-4.0,-8.0,2.0,-6.0,1.0,1.0,-1.0,-2.0,4.0,-3.0,2.0,1
S39G01N104,4.0,43.0,42.0,18.0,23.0,28.0,25.0,9.0,13.0,21.0,17.0,1.0,0.0,1.0,4.0,26.0,25.0,71.0,67.0,27.0,36.0,19.0,11.0,17.0,7.0,2.0,0.0,14.0,2.0,18.0,21.0,80.0,92.0,40.0,27.0,7.0,6.0,12.0,12.0,12.0,5.0,-1.0,4.0,-3.0,9.0,-4.0,-10.0,-8.0,-12.0,-1.0,-13.0,-4.0,-1.0,-1.0,-2.0,3.0,0.0,3.0,1
S39G01N105,1.0,11.0,12.0,5.0,3.0,6.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,6.0,7.0,17.0,16.0,6.0,5.0,2.0,6.0,2.0,4.0,0.0,0.0,1.0,7.0,5.0,2.0,15.0,16.0,7.0,14.0,1.0,0.0,0.0,3.0,1.0,-2.0,1.0,1.0,-2.0,-1.0,-1.0,2.0,4.0,6.0,1.0,7.0,-3.0,-1.0,-3.0,0.0,0.0,3.0,-3.0,1
S39G01N105,2.0,20.0,20.0,9.0,9.0,9.0,12.0,2.0,8.0,9.0,10.0,4.0,1.0,0.0,1.0,11.0,12.0,29.0,32.0,11.0,17.0,4.0,9.0,4.0,5.0,0.0,0.0,3.0,7.0,8.0,6.0,28.0,47.0,14.0,19.0,4.0,5.0,8.0,6.0,19.0,0.0,0.0,6.0,3.0,6.0,3.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,-3.0,0.0,1.0,-2.0,-2.0,1
S39G01N105,3.0,30.0,29.0,15.0,14.0,14.0,17.0,3.0,10.0,13.0,14.0,4.0,1.0,0.0,2.0,15.0,16.0,44.0,46.0,18.0,24.0,9.0,9.0,6.0,5.0,0.0,1.0,7.0,10.0,13.0,11.0,45.0,63.0,22.0,26.0,8.0,6.0,12.0,11.0,18.0,-1.0,-1.0,7.0,3.0,6.0,2.0,-1.0,0.0,3.0,1.0,4.0,1.0,-2.0,-3.0,1.0,2.0,-1.0,-2.0,1
