gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S39G01N26,2021-2022,20211022,원주 DB,21,5,33,12,45,2,44,17,21,6,1,1,25,21,4,4,66,24,17,20,27,75,91,4,0,10,40.0,40.0,2400,0,0,6,0,96,서울 삼성,12,3,29,14,43,5,46,11,24,7,2,2,24,19,2,2,72,20,17,22,28,66,96,6,1,8,40.0,40.0,2400,0,0,2,0,69
S39G01N27,2021-2022,20211022,대구 한국가스공사,13,1,28,8,36,6,44,18,22,7,2,2,13,6,3,4,68,27,18,23,26,67,81,3,0,11,40.0,40.0,2400,0,0,9,0,67,전주 KCC,17,2,30,12,42,1,33,15,30,6,1,1,24,18,5,2,64,22,16,20,26,68,88,5,1,8,40.0,40.0,2400,0,0,6,0,78
S39G01N28,2021-2022,20211023,창원 LG,18,2,24,17,41,6,46,25,27,7,0,0,17,10,4,0,73,32,20,24,24,81,90,5,2,8,40.0,40.0,2400,0,0,6,0,95,안양 KGC,15,3,22,9,31,4,39,21,24,8,1,1,22,18,4,6,64,30,19,23,28,86,86,7,2,6,40.0,40.0,2400,0,0,10,0,100
S39G01N29,2021-2022,20211023,수원 KT,19,2,23,20,43,3,43,18,31,11,0,0,13,7,4,2,74,29,17,20,24,76,87,7,0,13,40.0,40.0,2400,0,0,15,0,86,서울 SK,15,3,26,12,38,3,49,23,16,7,1,1,19,12,10,8,66,31,16,18,19,81,85,6,0,10,40.0,40.0,2400,0,0,12,0,94
S39G01N30,2021-2022,20211023,울산 현대모비스,16,2,19,17,36,3,49,22,26,5,1,1,10,6,4,2,76,28,14,13,22,67,86,10,0,16,40.0,40.0,2400,0,1,7,0,66,고양 오리온,25,0,27,7,34,6,55,33,15,6,1,1,10,9,7,8,71,40,11,11,29,95,81,8,0,13,40.0,40.0,2400,0,0,20,0,123
S39G01N31,2021-2022,20211024,대구 한국가스공사,17,3,27,15,42,1,39,22,25,7,3,3,27,24,3,2,67,32,18,19,27,95,94,4,0,10,40.0,40.0,2400,0,0,6,0,114,서울 삼성,19,5,18,15,33,6,52,21,22,10,2,2,15,10,2,0,76,33,20,26,27,86,91,5,1,9,40.0,40.0,2400,0,0,4,0,96
S39G01N32,2021-2022,20211024,서울 SK,18,3,31,8,39,2,41,29,27,8,1,1,16,11,9,4,69,38,13,13,21,95,85,7,0,8,40.0,40.0,2400,0,0,17,0,120,원주 DB,20,1,21,10,31,4,41,21,28,6,2,2,7,4,3,2,71,29,17,18,20,68,78,4,0,12,40.0,40.0,2400,0,0,2,0,71
S39G01N33,2021-2022,20211024,전주 KCC,18,3,21,13,34,5,51,35,38,9,0,0,15,12,5,6,89,44,18,22,35,109,104,8,0,13,45.0,45.0,2700,0,0,21,0,116,울산 현대모비스,24,5,24,16,40,6,59,31,24,10,0,0,19,16,4,2,83,41,19,25,31,108,102,9,0,19,45.0,45.0,2700,0,0,16,0,128
S39G01N34,2021-2022,20211025,창원 LG,15,4,27,12,39,2,46,23,13,4,1,1,18,13,3,2,60,28,16,17,16,73,78,6,1,12,40.0,40.0,2400,0,0,10,0,89,고양 오리온,18,2,20,10,30,1,51,24,15,4,1,1,7,4,6,2,67,29,14,17,26,66,74,7,0,9,40.0,40.0,2400,0,0,11,0,74
S39G01N35,2021-2022,20211026,서울 삼성,15,2,30,9,39,6,39,20,24,10,1,1,7,6,0,0,64,31,16,17,29,78,71,2,0,14,40.0,40.0,2400,0,0,11,0,94,안양 KGC,15,3,22,5,27,1,35,19,26,7,1,0,14,8,2,0,62,26,15,15,24,67,76,9,0,8,40.0,40.0,2400,0,0,6,0,72
S39G01N36,2021-2022,20211027,전주 KCC,17,2,25,4,29,2,30,16,27,10,2,2,23,16,2,2,59,28,17,17,22,82,82,4,0,8,40.0,40.0,2400,0,0,4,0,90,원주 DB,20,0,24,16,40,3,48,22,28,12,0,0,13,10,6,3,76,34,20,21,27,90,89,6,1,5,40.0,40.0,2400,0,0,12,0,108
S39G01N37,2021-2022,20211028,수원 KT,21,3,19,17,36,8,56,30,20,5,4,4,25,15,3,0,80,39,18,22,30,98,105,12,0,14,40.0,40.0,2400,0,0,12,0,113,울산 현대모비스,26,5,20,10,30,4,45,23,18,10,2,2,27,22,5,2,65,35,17,22,14,102,92,8,2,14,40.0,40.0,2400,0,0,7,0,124
S39G01N38,2021-2022,20211029,서울 SK,23,4,30,8,38,0,42,25,25,12,0,0,10,8,7,2,67,37,15,15,28,94,77,3,0,11,40.0,40.0,2400,0,0,6,0,119,대구 한국가스공사,21,0,22,11,33,2,45,24,32,11,0,0,5,3,1,0,77,35,15,14,22,84,82,8,0,6,40.0,40.0,2400,0,1,4,0,98
S39G01N39,2021-2022,20211029,원주 DB,14,2,24,7,31,4,32,15,28,7,1,1,11,9,2,2,61,23,16,18,28,62,72,4,2,9,40.0,40.0,2400,0,0,2,0,66,안양 KGC,17,0,31,6,37,2,37,16,19,7,2,2,19,16,3,2,58,25,13,14,12,73,77,6,1,9,40.0,40.0,2400,0,0,12,0,89
