gameKey,seasonName,date,TEAM,AST,BLK,DREB,DKM,DKA,SWA,2PM,2PA,FGA,FGM,TPF,FTM,FTA,PPF,SUB,OREB,PP,PA,PRB,STL,3PM,3PA,TTO,TRB,PTO,MIN,MIN_M,MIN_S,BPF,BPS,DPS,EFF,EJ,FST,MXD,MXS,PPS,PPT,SWM,TOM,TPF_G,TPF_T,TPS
S41G01N12,2022-2023,20221022,대구 한국가스공사,20,1,15,3,3,7,26,43,66,33,18,20,25,19,25,12,90,91,27,8,4,20,1,2,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N12,2022-2023,20221022,서울 SK,27,2,19,0,0,7,34,44,65,42,16,13,15,21,26,9,105,80,28,9,8,21,0,2,15,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N13,2022-2023,20221022,원주 DB,18,3,32,0,0,5,27,50,70,33,20,9,10,23,30,10,81,80,42,9,6,20,2,4,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N13,2022-2023,20221022,수원 KT,12,6,19,5,5,2,14,37,67,25,14,15,25,14,21,13,71,92,32,9,6,25,1,6,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N14,2022-2023,20221022,서울 삼성,17,3,18,1,2,1,19,37,61,29,20,14,18,25,25,8,81,79,26,5,9,22,0,3,5,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N14,2022-2023,20221022,안양 KGC,14,1,23,0,0,2,19,35,58,27,18,20,23,19,19,9,82,81,32,3,8,23,0,3,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N15,2022-2023,20221022,전주 KCC,21,1,20,1,1,3,20,41,68,31,18,16,20,19,22,14,88,88,34,4,10,26,0,5,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N15,2022-2023,20221022,울산 현대모비스,21,1,22,0,0,5,25,50,77,36,19,6,11,23,23,18,89,88,40,7,11,27,0,3,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N16,2022-2023,20221023,원주 DB,21,2,26,1,2,1,19,49,74,34,16,10,15,18,21,13,92,89,39,6,14,23,0,1,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N16,2022-2023,20221023,서울 SK,15,1,28,1,1,6,26,55,67,32,18,14,23,18,26,13,83,90,41,5,5,11,1,0,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N17,2022-2023,20221023,서울 삼성,20,3,20,0,0,4,19,37,63,28,20,16,22,24,32,13,81,85,33,8,9,26,2,1,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N17,2022-2023,20221023,대구 한국가스공사,11,3,24,2,2,3,20,43,60,25,19,17,23,21,31,14,70,83,38,5,3,15,0,2,15,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N18,2022-2023,20221023,전주 KCC,23,0,26,1,1,6,23,56,90,39,14,6,9,16,13,23,99,99,49,6,15,33,1,6,10,45.0,45.0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N18,2022-2023,20221023,안양 KGC,23,2,28,1,1,3,21,36,71,37,18,4,10,18,13,9,93,81,37,5,15,34,0,0,12,45.0,45.0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N19,2022-2023,20221024,창원 LG,20,2,27,0,0,4,27,50,66,33,15,13,20,20,16,10,85,86,37,7,6,16,0,1,6,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N19,2022-2023,20221024,수원 KT,11,2,25,3,4,1,16,42,65,25,18,10,20,22,23,15,66,85,40,5,6,19,1,6,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N20,2022-2023,20221025,서울 SK,21,3,21,1,1,3,23,44,66,31,17,15,19,18,29,7,84,85,28,7,7,21,0,4,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N20,2022-2023,20221025,울산 현대모비스,22,0,25,1,2,2,28,47,70,39,17,9,11,20,20,8,97,81,33,6,10,21,0,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N21,2022-2023,20221025,전주 KCC,18,1,25,1,1,6,22,39,72,33,14,14,20,14,16,13,90,92,38,9,10,32,0,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N21,2022-2023,20221025,고양 캐롯,20,3,22,1,1,3,17,31,65,33,19,12,12,20,23,5,93,77,27,8,15,33,1,6,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N22,2022-2023,20221027,원주 DB,27,2,18,6,6,8,28,49,73,40,18,8,8,21,23,7,94,81,25,6,6,18,0,9,6,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N22,2022-2023,20221027,서울 삼성,14,1,19,4,5,1,21,41,71,30,16,16,19,16,35,17,81,90,36,2,5,25,1,5,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N23,2022-2023,20221028,대구 한국가스공사,13,1,26,4,5,5,18,45,64,25,17,18,23,19,25,8,71,87,34,8,3,14,0,9,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N23,2022-2023,20221028,울산 현대모비스,18,3,28,1,1,6,22,47,75,32,17,8,12,19,18,12,81,87,40,8,9,27,1,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N24,2022-2023,20221028,창원 LG,13,6,27,1,2,6,20,43,68,28,18,16,23,25,25,13,79,91,40,8,7,23,0,4,19,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N24,2022-2023,20221028,안양 KGC,15,4,25,1,1,2,19,37,65,28,17,19,23,25,14,10,83,88,35,9,8,27,1,2,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N25,2022-2023,20221029,전주 KCC,17,1,24,1,1,2,21,47,73,29,18,17,22,19,22,15,82,95,39,6,7,25,0,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N25,2022-2023,20221029,원주 DB,20,6,28,2,3,6,27,45,68,36,17,8,13,25,24,7,87,81,35,6,7,20,1,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N26,2022-2023,20221029,수원 KT,18,3,25,1,1,1,14,34,62,24,14,12,12,14,19,4,69,74,29,4,9,27,1,9,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N26,2022-2023,20221029,고양 캐롯,19,6,26,1,1,5,15,34,63,28,16,7,7,17,22,6,75,70,32,8,12,28,1,3,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N27,2022-2023,20221029,서울 SK,19,8,26,2,2,4,26,62,79,32,18,18,20,27,22,14,86,99,40,4,4,15,0,7,9,45.0,45.0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N27,2022-2023,20221029,서울 삼성,15,5,28,1,1,1,20,53,76,29,19,24,29,20,33,15,90,105,43,4,8,22,0,4,6,45.0,45.0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N28,2022-2023,20221030,안양 KGC,21,5,30,1,1,4,14,32,64,25,19,10,12,19,19,6,70,76,36,7,10,31,1,2,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N28,2022-2023,20221030,수원 KT,10,2,29,3,4,1,15,47,81,24,18,14,19,20,18,21,68,100,50,5,6,30,0,9,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N29,2022-2023,20221030,고양 캐롯,20,1,16,1,1,2,16,28,63,29,14,13,16,15,25,7,83,79,23,9,12,34,0,5,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N29,2022-2023,20221030,대구 한국가스공사,23,3,25,2,3,6,26,42,69,38,14,6,11,15,20,11,92,80,36,10,10,24,1,2,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N30,2022-2023,20221030,창원 LG,18,1,32,2,2,2,14,38,67,26,19,17,22,23,19,13,79,89,45,5,10,27,0,1,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N30,2022-2023,20221030,울산 현대모비스,16,2,27,2,2,6,20,48,65,25,17,15,23,26,24,10,68,88,37,8,3,15,0,4,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N31,2022-2023,20221031,전주 KCC,19,5,25,1,1,2,21,43,64,26,19,13,16,22,22,9,69,80,34,2,4,20,2,5,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N31,2022-2023,20221031,서울 SK,17,1,29,0,0,5,24,49,65,28,18,15,18,20,25,8,75,83,37,6,4,16,1,1,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N32,2022-2023,20221101,창원 LG,10,2,22,0,0,4,26,48,78,37,18,9,13,20,16,17,94,91,39,3,11,30,0,4,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N32,2022-2023,20221101,원주 DB,13,3,21,0,0,2,22,43,67,35,18,19,22,19,22,8,102,89,29,5,13,24,0,2,6,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N33,2022-2023,20221101,서울 삼성,16,5,18,2,2,0,19,51,70,24,19,13,20,21,28,12,64,90,30,8,3,17,0,7,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N33,2022-2023,20221101,울산 현대모비스,16,4,30,1,1,6,25,45,62,31,18,14,16,21,26,8,81,78,38,10,5,16,0,1,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N34,2022-2023,20221103,대구 한국가스공사,16,1,19,0,0,1,22,44,66,29,16,16,22,19,30,11,81,88,30,4,7,22,0,4,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N34,2022-2023,20221103,수원 KT,19,3,23,0,1,2,18,30,62,33,18,16,19,23,25,7,97,81,30,6,15,31,0,4,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N35,2022-2023,20221103,원주 DB,17,4,23,4,4,2,17,35,68,32,14,9,17,16,28,7,84,85,30,4,11,29,0,5,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N35,2022-2023,20221103,안양 KGC,25,3,32,1,2,5,22,43,78,37,15,11,15,15,19,13,99,93,45,9,14,33,0,2,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N36,2022-2023,20221104,서울 삼성,16,1,32,3,3,2,16,36,62,27,19,16,20,19,27,15,78,82,47,5,8,23,2,1,15,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N36,2022-2023,20221104,고양 캐롯,18,0,21,1,1,2,16,37,70,26,17,14,16,21,27,8,75,86,29,9,9,32,1,5,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N37,2022-2023,20221105,안양 KGC,18,2,28,5,5,4,14,31,68,28,20,8,15,20,13,12,73,83,40,7,9,32,0,5,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N37,2022-2023,20221105,대구 한국가스공사,15,1,26,0,0,6,23,47,74,29,16,8,8,21,15,13,72,82,39,8,6,27,1,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N38,2022-2023,20221105,수원 KT,21,3,20,1,1,5,19,39,67,29,18,6,8,21,27,9,73,75,29,7,9,27,0,3,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N38,2022-2023,20221105,전주 KCC,20,1,28,0,0,5,24,49,68,34,15,10,13,15,23,12,88,81,40,4,10,19,0,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N39,2022-2023,20221105,원주 DB,21,4,26,4,4,6,26,54,73,35,18,11,19,20,23,15,86,92,41,7,5,15,0,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N39,2022-2023,20221105,울산 현대모비스,21,4,25,0,0,7,25,51,72,30,19,16,23,21,15,16,81,95,41,8,5,21,0,2,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N40,2022-2023,20221106,서울 삼성,17,0,30,0,0,2,19,40,65,27,20,9,10,22,24,10,71,75,40,4,8,25,0,1,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N40,2022-2023,20221106,전주 KCC,14,0,26,0,0,0,13,40,68,20,16,15,20,17,23,18,62,88,44,4,7,28,2,1,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N41,2022-2023,20221106,대구 한국가스공사,12,4,18,0,1,4,23,49,61,26,18,7,11,19,25,8,62,72,26,10,3,11,1,2,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N41,2022-2023,20221106,창원 LG,14,4,27,0,0,4,22,36,61,30,14,8,11,14,14,11,76,72,38,8,8,25,1,3,16,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N42,2022-2023,20221106,고양 캐롯,23,3,25,0,0,1,24,39,69,41,18,13,20,22,28,9,112,89,34,6,17,30,0,2,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N42,2022-2023,20221106,울산 현대모비스,27,0,21,0,0,0,23,45,70,32,17,15,23,22,21,11,88,93,32,5,9,25,0,3,6,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N43,2022-2023,20221106,수원 KT,17,3,28,1,1,2,20,39,62,31,16,4,7,16,27,8,76,69,36,2,10,22,0,1,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N43,2022-2023,20221106,서울 SK,17,2,23,1,1,3,18,40,67,27,16,12,16,17,21,12,74,83,35,6,8,26,1,1,4,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N44,2022-2023,20221110,고양 캐롯,17,2,20,2,2,5,27,46,76,42,17,5,7,17,25,11,102,83,31,8,13,28,0,3,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N44,2022-2023,20221110,서울 SK,16,1,20,2,2,5,28,48,69,36,17,14,19,17,22,10,92,88,30,6,6,19,0,5,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N45,2022-2023,20221110,안양 KGC,9,5,25,1,1,5,17,35,60,22,15,12,14,16,23,11,60,74,36,8,4,24,0,3,16,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N45,2022-2023,20221110,서울 삼성,11,2,24,2,2,1,19,45,70,27,18,7,12,20,29,16,67,82,40,13,6,23,0,4,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N46,2022-2023,20221112,전주 KCC,17,1,25,0,0,3,22,48,66,30,17,20,20,17,19,12,88,86,37,5,8,18,0,4,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N46,2022-2023,20221112,원주 DB,12,2,20,1,1,3,27,45,74,31,17,8,12,19,23,17,73,86,37,7,3,28,1,2,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N47,2022-2023,20221113,서울 삼성,15,1,25,3,3,1,15,40,60,25,18,15,21,22,35,6,72,81,31,4,7,17,1,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N47,2022-2023,20221113,고양 캐롯,18,2,27,0,0,4,16,35,61,27,17,16,24,19,37,9,81,85,36,5,11,26,0,4,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N48,2022-2023,20221113,창원 LG,14,3,17,0,0,5,20,43,66,27,17,4,6,21,18,8,65,72,25,7,7,23,0,3,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N48,2022-2023,20221113,서울 SK,20,6,28,2,2,4,24,45,61,32,17,20,26,17,21,10,90,87,38,7,6,14,0,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N49,2022-2023,20221116,안양 KGC,18,3,21,2,2,6,23,43,76,33,18,11,18,23,21,11,85,94,32,5,8,31,1,7,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N49,2022-2023,20221116,울산 현대모비스,20,2,30,0,0,7,25,49,72,33,17,18,22,21,19,12,92,94,42,7,8,23,2,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N50,2022-2023,20221116,서울 SK,17,5,17,0,0,7,23,49,76,31,19,8,13,21,24,18,78,89,35,9,8,27,0,7,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N50,2022-2023,20221116,전주 KCC,12,1,25,0,0,3,19,42,66,25,15,12,13,15,21,17,68,79,42,3,6,24,1,2,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N51,2022-2023,20221117,대구 한국가스공사,11,1,24,4,4,2,20,42,66,26,13,12,15,16,24,10,66,81,34,5,2,20,1,4,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N51,2022-2023,20221117,고양 캐롯,21,7,26,1,1,1,20,27,65,34,17,9,12,19,23,5,90,77,31,7,13,37,1,4,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N52,2022-2023,20221117,서울 삼성,7,4,26,3,3,2,17,39,57,24,17,14,18,18,25,8,66,75,34,4,4,15,1,2,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N52,2022-2023,20221117,수원 KT,15,1,23,2,2,5,15,43,68,22,15,13,19,19,18,17,62,87,40,5,5,23,1,6,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N53,2022-2023,20221118,전주 KCC,16,0,31,0,0,5,20,55,69,25,17,7,12,19,16,8,62,81,39,8,5,14,0,2,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N53,2022-2023,20221118,창원 LG,11,2,34,0,0,2,12,36,63,21,17,12,16,17,21,13,63,79,47,4,9,27,0,1,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N54,2022-2023,20221118,원주 DB,9,3,33,1,2,3,26,52,84,34,17,3,3,19,29,21,78,87,54,6,7,30,0,4,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N54,2022-2023,20221118,안양 KGC,19,9,25,1,2,3,17,38,64,27,16,17,24,16,17,5,80,88,30,7,9,24,0,1,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N55,2022-2023,20221119,울산 현대모비스,23,2,22,0,0,6,27,37,63,33,17,14,22,20,20,10,86,85,32,6,6,26,0,5,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N55,2022-2023,20221119,서울 삼성,14,0,23,0,0,1,26,44,57,28,18,19,25,20,33,4,77,82,27,6,2,13,0,4,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N56,2022-2023,20221119,서울 SK,13,1,22,4,4,6,16,44,67,26,16,18,28,16,19,13,76,95,35,9,6,19,0,6,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N56,2022-2023,20221119,대구 한국가스공사,17,3,28,3,3,4,22,37,66,32,19,10,13,21,22,9,81,79,37,6,7,26,0,4,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N57,2022-2023,20221119,고양 캐롯,9,2,17,1,1,4,12,22,63,25,14,8,11,16,16,7,70,74,24,9,12,40,1,5,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N57,2022-2023,20221119,수원 KT,15,2,27,4,4,6,20,35,71,29,18,9,13,20,14,20,72,84,47,5,5,32,0,6,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N58,2022-2023,20221120,울산 현대모비스,23,1,32,1,1,7,24,45,63,34,17,8,15,18,23,11,85,78,43,4,9,17,1,2,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N58,2022-2023,20221120,대구 한국가스공사,16,1,20,2,2,4,24,45,68,30,15,8,15,15,27,8,72,83,28,6,4,21,0,3,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N59,2022-2023,20221120,창원 LG,14,1,23,1,1,2,15,38,61,23,19,14,14,19,19,7,67,75,30,9,7,22,1,5,16,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N59,2022-2023,20221120,안양 KGC,18,6,26,3,3,8,24,45,72,34,18,9,14,19,13,11,84,86,37,10,7,24,0,5,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
