시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,송창용,1,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,이정현,1,5,1,2,50.0,1,6,16.7,2,8,25.0,0,0,0.0,0,0,0,5,0,0,0,0,1,3
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,정창영,1,5,2,2,100.0,0,1,0.0,2,3,66.7,1,1,100.0,0,2,2,2,0,0,1,0,2,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,라건아,1,16,6,9,66.7,1,3,33.3,7,12,58.3,1,2,50.0,7,7,14,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,김지완,1,3,0,3,0.0,1,3,33.3,1,6,16.7,0,0,0.0,0,1,1,1,0,0,0,0,1,3
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,김상규,1,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,유병훈,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,전준범,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,송교창,1,11,3,8,37.5,1,5,20.0,4,13,30.8,2,2,100.0,0,4,4,0,0,0,0,0,2,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,이진욱,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,유현준,1,6,0,0,0.0,2,5,40.0,2,5,40.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3,전주 KCC,Away,라타비우스 윌리엄스,1,6,3,3,100.0,0,0,0.0,3,3,100.0,0,1,0.0,1,2,3,0,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,박형철,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,함준후,1,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,2,0,2,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,오세근,1,14,7,12,58.3,0,0,0.0,7,12,58.3,0,0,0.0,5,7,12,2,2,0,0,0,1,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,문성곤,1,11,1,2,50.0,3,7,42.9,4,9,44.4,0,0,0.0,2,7,9,4,2,0,0,0,0,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,전성현,1,24,5,8,62.5,4,6,66.7,9,14,64.3,2,2,100.0,0,0,0,1,1,0,0,0,0,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,안양 KGC,Home,박재한,1,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,0,1,0
